points,Threads,Duration (s),Speedup,Efficiency
500,1,0.0012,1.00,1.00
500,64,0.0295,0.04,0.00
500,128,0.0051,0.24,0.00
500,256,0.0057,0.22,0.00
500,512,0.0057,0.21,0.00
7000,1,0.0896,1.00,1.00
7000,64,0.0107,8.39,0.13
7000,128,0.0146,6.16,0.05
7000,256,0.0110,8.14,0.03
7000,512,0.0108,8.34,0.02
20000,1,0.3694,1.00,1.00
20000,64,0.0264,14.01,0.22
20000,128,0.0278,13.29,0.10
20000,256,0.0360,10.26,0.04
20000,512,0.0534,6.91,0.01
50000,1,1.5096,1.00,1.00
50000,64,0.0578,26.10,0.41
50000,128,0.0612,24.69,0.19
50000,256,0.0706,21.37,0.08
50000,512,0.0783,19.28,0.04
126000,1,5.9515,1.00,1.00
126000,64,0.1094,54.39,0.85
126000,128,0.1996,29.82,0.23
126000,256,0.1262,47.17,0.18
126000,512,0.1416,42.02,0.08
301487,1,25.2098,1.00,1.00
301487,64,0.2697,93.46,1.46
301487,128,0.1761,143.18,1.12
301487,256,0.2037,123.76,0.48
301487,512,0.3390,74.37,0.15
