Age,SatisfactionScore
56,100.0
69,100.0
46,100.0
32,100.0
60,82.0
25,80.71
38,100.0
56,100.0
36,100.0
40,86.48
28,94.6
28,81.85
41,95.99
53,100.0
57,100.0
41,52.34
20,73.48
39,86.31
19,100.0
41,85.16
61,69.85
47,92.23
55,90.59
19,99.65
38,49.73
50,70.82
29,100.0
39,100.0
61,75.74
42,100.0
66,100.0
44,100.0
59,100.0
45,100.0
33,100.0
32,100.0
64,88.16
68,63.97
61,100.0
69,91.94
20,100.0
54,72.89
68,100.0
24,96.58
38,63.49
26,79.86
56,98.21
35,46.66
21,86.36
42,100.0
31,81.61
67,100.0
26,63.75
43,94.73
19,100.0
37,100.0
45,100.0
64,99.01
24,91.14
61,100.0
25,59.41
64,90.05
52,100.0
31,67.19
34,60.67
53,87.19
67,100.0
57,99.86
21,100.0
19,80.11
23,91.6
59,76.91
21,46.58
46,100.0
35,100.0
43,78.7
61,83.31
51,87.35
27,87.48
53,100.0
31,91.72
48,71.21
65,88.37
32,100.0
25,84.12
31,51.57
40,79.53
57,100.0
38,84.79
33,100.0
62,71.42
35,77.42
64,100.0
41,82.91
43,91.78
42,81.73
62,83.53
58,100.0
46,62.79
32,73.83
62,100.0
18,87.24
42,100.0
24,84.43
26,85.26
41,59.89
18,79.86
61,90.56
25,100.0
41,93.71
28,79.97
68,81.08
34,100.0
25,78.74
52,100.0
52,74.69
50,70.77
22,85.99
59,76.93
56,99.16
58,97.81
45,100.0
24,63.03
26,99.76
25,79.87
29,100.0
51,68.52
50,100.0
65,100.0
40,85.23
41,72.15
54,96.28
52,100.0
61,89.43
57,51.15
39,100.0
44,57.98
52,100.0
18,88.63
52,77.78
54,100.0
64,92.42
31,26.67
20,78.83
18,83.59
22,97.22
43,77.17
31,51.81
56,100.0
44,73.83
26,55.71
32,89.27
32,88.23
43,70.78
59,100.0
30,88.46
68,100.0
49,100.0
56,100.0
66,69.68
69,100.0
49,100.0
21,29.03
47,73.46
54,100.0
40,100.0
56,79.87
62,100.0
32,100.0
60,77.8
46,90.13
53,100.0
30,100.0
49,100.0
24,61.82
68,100.0
39,95.71
45,98.36
19,100.0
59,94.69
62,100.0
23,100.0
45,85.16
45,62.22
61,100.0
61,77.78
37,100.0
47,92.55
28,69.02
45,100.0
42,100.0
56,96.23
50,100.0
18,81.47
44,100.0
69,100.0
30,67.86
58,78.6
20,86.29
56,90.23
23,83.65
